schemaId,schemaVersion,profileId,sourceContentHash,authorityKind,recordKind,recordId,actionStableId,legalityRuleSetRef,baseWeight,subjectiveRiskGateRef,enabled,sourceKind,selectorRef,priorityDelta,applicationOrder,capPolicyRef,diminishingPolicyRef,actionTotalCapPolicyRef,scope,minimum,maximum,appliesAfterSourceKind,inputBasis,activationThreshold,segments,outputBound,tieBreakPolicy,triggerStableId,riskThresholdDelta,knownEvidenceRefs,riskAssessmentRef,baseRiskThreshold,lifespanCapPolicyRef
npcCultivationActionWeightProfile,1,npc-cultivation-production-v1,8f9e1e7c6154d6b1bcbae301cf8e0fd219fd258565d43a1a55ec84cd8d9ec1b9,CSV_SOURCE_SET,MANIFEST,manifest-npc-cultivation-v1,,,,,,,,,,,,,,,,,,,,,LEXICOGRAPHIC_ASC,,,,,,
npcCultivationActionWeightProfile,1,npc-cultivation-production-v1,,,ACTION,action-foundation-trial,FOUNDATION_TRIAL,FOUNDATION_TRIAL_RULESET,90,,true,,,,,,,cap-action-total,,,,,,,,,,,,,,,
npcCultivationActionWeightProfile,1,npc-cultivation-production-v1,,,ACTION,action-foundation-nurture,FOUNDATION_NURTURE,FOUNDATION_NURTURE_RULESET,74,,true,,,,,,,cap-action-total,,,,,,,,,,,,,,,
npcCultivationActionWeightProfile,1,npc-cultivation-production-v1,,,ACTION,action-mansion-embryo-nurture,MANSION_EMBRYO_NURTURE,MANSION_EMBRYO_NURTURE_RULESET,70,,true,,,,,,,cap-action-total,,,,,,,,,,,,,,,
npcCultivationActionWeightProfile,1,npc-cultivation-production-v1,,,ACTION,action-mansion-opening-trial,MANSION_OPENING_TRIAL,MANSION_OPENING_TRIAL_RULESET,82,,true,,,,,,,cap-action-total,,,,,,,,,,,,,,,
npcCultivationActionWeightProfile,1,npc-cultivation-production-v1,,,ACTION,action-jindan-proof,JINDAN_PROOF,JINDAN_PROOF_RULESET,86,risk-jindan-known,true,,,,,,,cap-action-total,,,,,,,,,,,,,,,
npcCultivationActionWeightProfile,1,npc-cultivation-production-v1,,,MODIFIER,mod-personality-disciplined-nurture,FOUNDATION_NURTURE,,,,,PERSONALITY,PERS_DISCIPLINED,9,1,cap-source-personality,diminish-source,,,,,,,,,,,,,,,,
npcCultivationActionWeightProfile,1,npc-cultivation-production-v1,,,MODIFIER,mod-personality-ambitious-jindan,JINDAN_PROOF,,,,,PERSONALITY,PERS_AMBITIOUS,12,1,cap-source-personality,diminish-source,,,,,,,,,,,,,,,,
npcCultivationActionWeightProfile,1,npc-cultivation-production-v1,,,MODIFIER,mod-personality-prudent-trial,FOUNDATION_TRIAL,,,,,PERSONALITY,PERS_PRUDENT,5,1,cap-source-personality,diminish-source,,,,,,,,,,,,,,,,
npcCultivationActionWeightProfile,1,npc-cultivation-production-v1,,,MODIFIER,mod-sect-cultivation-nurture,FOUNDATION_NURTURE,,,,,SECT,SECT_CULTIVATION,8,1,cap-source-sect,diminish-source,,,,,,,,,,,,,,,,
